"연도","수력(일반)","수력(양수)","수력(소수력)","수력 계","기력(무연탄)","기력(유연탄)","기력(중유)","기력(LNG)","기력 계","복합화력","내연력","원자력","집단","대체","총계","상용자가 발전량중 한전구입","합계"
"2000","3941017","1600269","68536","5609822","7029753","92397718","18888171","1631891","119947533","26863140","293861","108963740","","","261678096","4721413","266399509"
"2001","2257585","1820814","72354","4150753","7007385","105250087","21622339","1556930","135436741","29032971","324939","112133033","","","281078437","4145321","285223758"
"2002","3136674","2078269","96103","5311046","6674542","112990671","17493064","1771207","138929484","38336951","353023","119102905","","","302033409","4440656","306474065"
"2003","4756941","2001406","128636","6886983","6959937","114971490","16663865","1674183","140269475","40374646","370125","129671763","","","317572992","4878706","322451698"
"2004","4198348","1550355","112732","5861435","5787070","122760316","16084006","733318","145364710","55451941","406895","130714816","3552538","350183","341702518","445453","342147971"
"2005","3535571","1515588","137729","5188888","5789778","129101944","15529107","786366","151207195","57456898","575339","146779023","2758544","404101","364369988","269341","364639329"
"2006","3326281","1751083","141256","5218620","5709388","134636585","14306788","1258155","155910916","67138342","677296","148748887","2596731","511223","380802015","378693","381180708"
"2007","3475269","1410813","156381","5042463","6061545","149623092","15702736","2027701","173415074","76405418","578356","142937164","3085140","830824","402294439","830063","403124502"
"2008","2852127","2492539","217984","5562650","6928993","167227037","7981563","1517763","183655356","74519352","502708","150957936","5054422","1373425","421625849","729277","422355126"
"2009","2596100","2827991","217071","5641162","7977658","185825633","11970100","761682","206535073","64486009","696953","147770807","5826998","1790609","432747611","856135","433603746"
"2010","3339560","2789934","342409","6471903","8359873","189927487","10874371","2287541","211449272","94012138","730695","148595712","8080233","4478058","473818011","842196","474660207"
"2011","4178868","3232985","418799","7830652","8503983","191011864","9456338","2232618","211204803","101479384","820533","154723107","12429067","7592387","496079933","813434","496893367"
"2012","3440018","3683262","571720","7695000","8767762","190561957","13553420","3452866","216336005","110881933","752070","150327293","12912737","8617869","507522907","2094121","509617028"
"2013","3798240","4104661","491028","8393929","8054488","193064345","13940534","3525889","218585256","124400011","740935","138783973","14403169","10159658","515466931","1680942","517147873"
"2014","2135681","5068129","615737","7819547","8506060","195259331","6838457","568123","211171971","111711465","655810","156406511","18948095","14695690","521409089","561813","521970902"
"2015","1539298","3650320","606422","5796040","7438271","199895424","8822006","222472","216378173","100598385","643164","164762416","22018711","17317949","527514838","576355","528091193"
"2016","2159149","3787310","687126","6633585","7760682","201439484","13054770","368541","222623477","96922270","573196","161995104","32537144","18935660","540220436","220419","540440855"
"2017","2263505","4186353","545316","6995174","4426611","227459979","5224768","220183","237331541","99618990","513347","148426725","36194464","24145362","553225603","304506","553530109"
"2018","2748401","3911035","611017","7270453","2677040","228975999","5845247","0","237498286","116835607","528453","133505261","47032922","27176674","569847656","798850","570646506"
